"Variable.Name","Variable.Description","Data.File.Name","Data.File.Description","Begin.Year","EndYear","Component","Use.Constraints","SourceTable"
"DMAETHN","Logical Imputation Flag for Ethnicity","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMARACE","Logical Imputation Flag for Race Recode","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDBORN","In what country {were you/was SP} born?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDCITZN","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDEDUC","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDEDUC2","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDEDUC3","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHHSIZ","Total number of people in the Household","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRAGE","Age in years of the household reference person at the time of HH screening.  Individuals 85 and over are topcoded at 85 years of","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRBRN","In what country {were you/was NON-SP Head} born?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHREDU","What is the highest grade or level of school {you have/NON_SP HEAD has} received?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRGND","Gender of the household reference person","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRMAR","Marital Status of household reference person","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHSEDU","What is the highest grade or level of school {you have/NON-SP SPOUSE has completed or the highest degree {you have/he/she has} r","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDMARTL","Marital Status","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDSCHOL","{Are you/Is SP} now . . .","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDYRSUS","Length of time SP has been in the US.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMQMILIT","Did {you/SP} ever serve in the Armed Forces of the United States?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"INDFMINC","Total family income (reported as a range value in dollars)","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"INDFMPIR","Poverty income ratio (PIR) - a ratio of family income to poverty threshold","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"INDHHINC","Total household income (reported as a range value in dollars)","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIAGENDR","Gender of the sample person","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDAGEEX","Best age in months at date of examination for individuals under 85 years of age at screening.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDAGEMN","Best age in months at date of screening for individuals under 85 years of age.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDAGEYR","Best age in years of the sample person at time of HH screening.  Individuals 85 and over are topcoded at 85 years of age.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDEXMON","Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDEXPRG","Pregnancy status at the time of MEC exam.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDPREG","Pregnancy status variable based on all source data. NOTE: This is the previous pregnancy status recode variable. RIDPREG is a mo","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDRETH1","Recode of reported race and ethnicity information.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDRETH2","Linked NH3 Race and Ethnicity Recode.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"RIDSTATR","Interview and Examination Status of the Sample Person.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"SDDSRVYR","Data Release Number.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"SDJ1REPN","Jack Knife Replicate Number","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"SDMVPSU","Masked Variance Unit Pseudo-PSU variable for variance estimation","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"SDMVSTRA","Masked Variance Unit Pseudo-Stratum variable for variance estimation","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"SEQN","Respondent sequence number.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTINT2YR","Interviewed Sample Persons.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTINT4YR","Interviewed Sample Persons. Used for 1999-2002 data collection years only.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP01","Interview Weight Jack Knife Replicate 01","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP02","Interview Weight Jack Knife Replicate 02","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP03","Interview Weight Jack Knife Replicate 03","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP04","Interview Weight Jack Knife Replicate 04","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP05","Interview Weight Jack Knife Replicate 05","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP06","Interview Weight Jack Knife Replicate 06","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP07","Interview Weight Jack Knife Replicate 07","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP08","Interview Weight Jack Knife Replicate 08","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP09","Interview Weight Jack Knife Replicate 09","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP10","Interview Weight Jack Knife Replicate 10","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP11","Interview Weight Jack Knife Replicate 11","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP12","Interview Weight Jack Knife Replicate 12","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP13","Interview Weight Jack Knife Replicate 13","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP14","Interview Weight Jack Knife Replicate 14","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP15","Interview Weight Jack Knife Replicate 15","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP16","Interview Weight Jack Knife Replicate 16","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP17","Interview Weight Jack Knife Replicate 17","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP18","Interview Weight Jack Knife Replicate 18","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP19","Interview Weight Jack Knife Replicate 19","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP20","Interview Weight Jack Knife Replicate 20","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP21","Interview Weight Jack Knife Replicate 21","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP22","Interview Weight Jack Knife Replicate 22","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP23","Interview Weight Jack Knife Replicate 23","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP24","Interview Weight Jack Knife Replicate 24","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP25","Interview Weight Jack Knife Replicate 25","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP26","Interview Weight Jack Knife Replicate 26","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP27","Interview Weight Jack Knife Replicate 27","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP28","Interview Weight Jack Knife Replicate 28","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP29","Interview Weight Jack Knife Replicate 29","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP30","Interview Weight Jack Knife Replicate 30","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP31","Interview Weight Jack Knife Replicate 31","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP32","Interview Weight Jack Knife Replicate 32","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP33","Interview Weight Jack Knife Replicate 33","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP34","Interview Weight Jack Knife Replicate 34","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP35","Interview Weight Jack Knife Replicate 35","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP36","Interview Weight Jack Knife Replicate 36","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP37","Interview Weight Jack Knife Replicate 37","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP38","Interview Weight Jack Knife Replicate 38","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP39","Interview Weight Jack Knife Replicate 39","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP40","Interview Weight Jack Knife Replicate 40","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP41","Interview Weight Jack Knife Replicate 41","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP42","Interview Weight Jack Knife Replicate 42","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP43","Interview Weight Jack Knife Replicate 43","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP44","Interview Weight Jack Knife Replicate 44","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP45","Interview Weight Jack Knife Replicate 45","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP46","Interview Weight Jack Knife Replicate 46","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP47","Interview Weight Jack Knife Replicate 47","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP48","Interview Weight Jack Knife Replicate 48","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP49","Interview Weight Jack Knife Replicate 49","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP50","Interview Weight Jack Knife Replicate 50","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP51","Interview Weight Jack Knife Replicate 51","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTIREP52","Interview Weight Jack Knife Replicate 52","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMEC2YR","Both Interviewed and MEC Examined Sample Persons.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMEC4YR","Both Interviewed and MEC Examined Sample Persons. Used for 1999-2002 data collection years only.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP01","MEC Exam Weight Jack Knife Replicate 01","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP02","MEC Exam Weight Jack Knife Replicate 02","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP03","MEC Exam Weight Jack Knife Replicate 03","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP04","MEC Exam Weight Jack Knife Replicate 04","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP05","MEC Exam Weight Jack Knife Replicate 05","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP06","MEC Exam Weight Jack Knife Replicate 06","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP07","MEC Exam Weight Jack Knife Replicate 07","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP08","MEC Exam Weight Jack Knife Replicate 08","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP09","MEC Exam Weight Jack Knife Replicate 09","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP10","MEC Exam Weight Jack Knife Replicate 10","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP11","MEC Exam Weight Jack Knife Replicate 11","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP12","MEC Exam Weight Jack Knife Replicate 12","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP13","MEC Exam Weight Jack Knife Replicate 13","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP14","MEC Exam Weight Jack Knife Replicate 14","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP15","MEC Exam Weight Jack Knife Replicate 15","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP16","MEC Exam Weight Jack Knife Replicate 16","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP17","MEC Exam Weight Jack Knife Replicate 17","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP18","MEC Exam Weight Jack Knife Replicate 18","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP19","MEC Exam Weight Jack Knife Replicate 19","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP20","MEC Exam Weight Jack Knife Replicate 20","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP21","MEC Exam Weight Jack Knife Replicate 21","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP22","MEC Exam Weight Jack Knife Replicate 22","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP23","MEC Exam Weight Jack Knife Replicate 23","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP24","MEC Exam Weight Jack Knife Replicate 24","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP25","MEC Exam Weight Jack Knife Replicate 25","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP26","MEC Exam Weight Jack Knife Replicate 26","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP27","MEC Exam Weight Jack Knife Replicate 27","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP28","MEC Exam Weight Jack Knife Replicate 28","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP29","MEC Exam Weight Jack Knife Replicate 29","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP30","MEC Exam Weight Jack Knife Replicate 30","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP31","MEC Exam Weight Jack Knife Replicate 31","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP32","MEC Exam Weight Jack Knife Replicate 32","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP33","MEC Exam Weight Jack Knife Replicate 33","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP34","MEC Exam Weight Jack Knife Replicate 34","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP35","MEC Exam Weight Jack Knife Replicate 35","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP36","MEC Exam Weight Jack Knife Replicate 36","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP37","MEC Exam Weight Jack Knife Replicate 37","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP38","MEC Exam Weight Jack Knife Replicate 38","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP39","MEC Exam Weight Jack Knife Replicate 39","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP40","MEC Exam Weight Jack Knife Replicate 40","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP41","MEC Exam Weight Jack Knife Replicate 41","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP42","MEC Exam Weight Jack Knife Replicate 42","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP43","MEC Exam Weight Jack Knife Replicate 43","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP44","MEC Exam Weight Jack Knife Replicate 44","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP45","MEC Exam Weight Jack Knife Replicate 45","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP46","MEC Exam Weight Jack Knife Replicate 46","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP47","MEC Exam Weight Jack Knife Replicate 47","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP48","MEC Exam Weight Jack Knife Replicate 48","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP49","MEC Exam Weight Jack Knife Replicate 49","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP50","MEC Exam Weight Jack Knife Replicate 50","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP51","MEC Exam Weight Jack Knife Replicate 51","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"WTMREP52","MEC Exam Weight Jack Knife Replicate 52","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDBORN","In what country {were you/was SP} born?","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDCITZN","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDEDUC","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDEDUC2","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDEDUC3","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHHSIZ","Total number of people in the Household","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHRAGE","Age in years of the household reference person at the time of HH screening.  Individuals 85 and over are topcoded at 85 years of","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHRBRN","In what country {were you/was NON-SP Head} born?","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHREDU","What is the highest grade or level of school {you have/NON_SP HEAD has} received?","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHRGND","Gender of the household reference person","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHRMAR","Marital Status of household reference person","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDHSEDU","What is the highest grade or level of school {you have/NON-SP SPOUSE has completed or the highest degree {you have/he/she has} r","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDMARTL","Marital Status","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDSCHOL","{Are you/Is SP} now . . .","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMDYRSUS","Length of time SP has been in the US.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"DMQMILIT","Did {you/SP} ever serve in the Armed Forces of the United States?","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"INDFMINC","Total family income (reported as a range value in dollars)","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"INDFMPIR","Poverty income ratio (PIR) - a ratio of family income to poverty threshold","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"INDHHINC","Total household income (reported as a range value in dollars)","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIAGENDR","Gender of the sample person","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDAGEEX","Best age in months at date of examination for individuals under 85 years of age at screening.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDAGEMN","Best age in months at date of screening for individuals under 85 years of age.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDAGEYR","Best age in years of the sample person at time of HH screening.  Individuals 85 and over are topcoded at 85 years of age.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDEXMON","Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDEXPRG","Pregnancy status at the time of MEC exam.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDPREG","Pregnancy status variable based on all source data. NOTE: This is the previous pregnancy status recode variable. RIDPREG is a mo","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDRETH1","Recode of reported race and ethnicity information.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDRETH2","Linked NH3 Race and Ethnicity Recode.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"RIDSTATR","Interview and Examination Status of the Sample Person.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"SDDSRVYR","Data Release Number.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"SDMVPSU","Masked Variance Unit Pseudo-PSU variable for variance estimation","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"SDMVSTRA","Masked Variance Unit Pseudo-Stratum variable for variance estimation","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"SEQN","Respondent sequence number.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"WTINT2YR","Interviewed Sample Persons.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"WTINT4YR","Interviewed Sample Persons. Used for 1999-2002 data collection years only.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"WTMEC2YR","Both Interviewed and MEC Examined Sample Persons.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"WTMEC4YR","Both Interviewed and MEC Examined Sample Persons. Used for 1999-2002 data collection years only.","DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics","None","DEMO_B"
"AIALANG","Language of the MEC ACASI Interview Instrument","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDBORN","In what country {were you/was SP} born?","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDCITZN","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDEDUC","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDEDUC2","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDEDUC3","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDHHSIZ","Total number of people in the Household","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDHRAGE","Age in years of the household reference person at the time of HH screening.  Individuals 85 and over are topcoded at 85 years of","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDHRBRN","In what country {were you/was NON-SP Head} born?","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDHREDU","What is the highest grade or level of school {you have/NON_SP HEAD has} received?","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDHRGND","Gender of the household reference person","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
"DMDHRMAR","Marital Status of household reference person","DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics","None","DEMO_C"
