"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"SMQ_I","Smoking - Cigarette Use",2015,2016,"Questionnaire"
"DIQ_I","Diabetes",2015,2016,"Questionnaire"
"OHQ_I","Oral Health",2015,2016,"Questionnaire"
"DEQ_I","Dermatology",2015,2016,"Questionnaire"
"HOQ_I","Housing Characteristics",2015,2016,"Questionnaire"
"DPQ_I","Mental Health - Depression Screener",2015,2016,"Questionnaire"
"DPQY_I_R","Mental Health - Depression Screener - Youth",2015,2016,"Questionnaire"
"HSQ_I","Current Health Status",2015,2016,"Questionnaire"
"SXQY_I_R","Sexual Behavior - Youth",2015,2016,"Questionnaire"
"SXQ_I","Sexual Behavior",2015,2016,"Questionnaire"
"INQ_I","Income",2015,2016,"Questionnaire"
"ACQ_I","Acculturation",2015,2016,"Questionnaire"
"OCQ_G_R","Occupation - Industry & Occupation Codes",2011,2012,"Questionnaire"
"ECQ_I","Early Childhood",2015,2016,"Questionnaire"
"OCQ_I","Occupation",2015,2016,"Questionnaire"
"PUQMEC_I","Pesticide Use",2015,2016,"Questionnaire"
"RHQ_I","Reproductive Health",2015,2016,"Questionnaire"
"WHQ_I","Weight History",2015,2016,"Questionnaire"
"WHQMEC_I","Weight History - Youth",2015,2016,"Questionnaire"
"SLQ_I","Sleep Disorders",2015,2016,"Questionnaire"
"AUQ_I","Audiometry",2015,2016,"Questionnaire"
"ALQY_I_R","Alcohol Use - Youth",2015,2016,"Questionnaire"
"ALQ_I","Alcohol Use",2015,2016,"Questionnaire"
"KIQ_U_I","Kidney Conditions - Urology",2015,2016,"Questionnaire"
"RHQ_I_R","Reproductive Health – Women 12 Years and Older",2015,2016,"Questionnaire"
"DUQ_I","Drug Use",2015,2016,"Questionnaire"
"DUQY_I_R","Drug Use - Youth",2015,2016,"Questionnaire"
"VTQ_I","Volatile Toxicant",2015,2016,"Questionnaire"
"RXQASA_I","Preventive Aspirin Use",2015,2016,"Questionnaire"
"CBQ_I","Consumer Behavior",2015,2016,"Questionnaire"
"SXQYTH_B","Sexual Behavior - Youth",2001,2002,"Questionnaire"
"SXQYTH_C","Sexual Behavior - Youth",2003,2004,"Questionnaire"
"DBQ_I","Diet Behavior & Nutrition",2015,2016,"Questionnaire"
"RXQ_RX_I","Prescription Medications",2015,2016,"Questionnaire"
"BPQ_J","Blood Pressure & Cholesterol",2017,2018,"Questionnaire"
"HUQ_J","Hospital Utilization & Access to Care",2017,2018,"Questionnaire"
"HEQ_J","Hepatitis",2017,2018,"Questionnaire"
"CDQ_J","Cardiovascular Health",2017,2018,"Questionnaire"
"PAQY_J","Physical Activity - Youth",2017,2018,"Questionnaire"
"PAQ_J","Physical Activity",2017,2018,"Questionnaire"
"IMQ_J","Immunization",2017,2018,"Questionnaire"
"HIQ_J","Health Insurance",2017,2018,"Questionnaire"
"DLQ_J","Disability",2017,2018,"Questionnaire"
"DIQ_J","Diabetes",2017,2018,"Questionnaire"
"PFQ_J","Physical Functioning",2017,2018,"Questionnaire"
"SMQRTU_J","Smoking - Recent Tobacco Use",2017,2018,"Questionnaire"
"SMQFAM_J","Smoking - Household Smokers",2017,2018,"Questionnaire"
"SMQSHS_J","Smoking - Secondhand Smoke Exposure",2017,2018,"Questionnaire"
"SMQ_J","Smoking - Cigarette Use",2017,2018,"Questionnaire"
"MCQ_J","Medical Conditions",2017,2018,"Questionnaire"
"OHQ_J","Oral Health",2017,2018,"Questionnaire"
"HSQ_J","Current Health Status",2017,2018,"Questionnaire"
"HOQ_J","Housing Characteristics",2017,2018,"Questionnaire"
"DEQ_J","Dermatology",2017,2018,"Questionnaire"
"OCQ_H_R","Occupation",2013,2014,"Questionnaire"
"INQ_J","Income",2017,2018,"Questionnaire"
"ACQ_J","Acculturation",2017,2018,"Questionnaire"
"RHQ_J","Reproductive Health",2017,2018,"Questionnaire"
"RHQ_J_R","Reproductive Health - Women 12 Years and Older",2017,2018,"Questionnaire"
"SLQ_J","Sleep Disorders",2017,2018,"Questionnaire"
"OCQ_J","Occupation",2017,2018,"Questionnaire"
"DPQ_J","Mental Health - Depression Screener",2017,2018,"Questionnaire"
"DPQY_J_R","Mental Health - Depression Screener - Youth",2017,2018,"Questionnaire"
"DUQ_J","Drug Use",2017,2018,"Questionnaire"
"DUQY_J_R","Drug Use - Youth",2017,2018,"Questionnaire"
"ECQ_J","Early Childhood",2017,2018,"Questionnaire"
"OSQ_J","Osteoporosis",2017,2018,"Questionnaire"
"KIQ_U_J","Kidney Conditions - Urology",2017,2018,"Questionnaire"
"FSQ_I_R","Food Security - Pregnant Women",2015,2016,"Questionnaire"
"FSQ_I","Food Security",2015,2016,"Questionnaire"
"CBQ_J","Consumer Behavior",2017,2018,"Questionnaire"
"DBQ_J","Diet Behavior & Nutrition",2017,2018,"Questionnaire"
"RXQ_RX_J","Prescription Medications",2017,2018,"Questionnaire"
"WHQ_J","Weight History",2017,2018,"Questionnaire"
"WHQMEC_J","Weight History - Youth",2017,2018,"Questionnaire"
"RXQASA_J","Preventive Aspirin Use",2017,2018,"Questionnaire"
"AUQ_J","Audiometry",2017,2018,"Questionnaire"
"SXQY_J_R","Sexual Behavior - Youth",2017,2018,"Questionnaire"
"PUQMEC_J","Pesticide Use",2017,2018,"Questionnaire"
"SXQ_J_R","Sexual Behavior - Adult",2017,2018,"Questionnaire"
"ALQY_J_R","Alcohol Use - Youth",2017,2018,"Questionnaire"
"ALQ_J","Alcohol Use",2017,2018,"Questionnaire"
"VTQ_J","Volatile Toxicant",2017,2018,"Questionnaire"
"P_DIQ","Diabetes",2017,2020,"Questionnaire"
"P_BPQ","Blood Pressure & Cholesterol",2017,2020,"Questionnaire"
"P_OHQ","Oral Health",2017,2020,"Questionnaire"
"P_DPQ","Mental Health - Depression Screener",2017,2020,"Questionnaire"
"P_SMQSHS","Smoking - Secondhand Smoke Exposure",2017,2020,"Questionnaire"
"CBQPFC_J","Consumer Behavior Phone Follow-up Module - Child",2017,2018,"Questionnaire"
"CBQPFA_J","Consumer Behavior Phone Follow-up Module - Adult",2017,2018,"Questionnaire"
"P_SLQ","Sleep Disorders",2017,2020,"Questionnaire"
"P_SMQRTU","Smoking - Recent Tobacco Use",2017,2020,"Questionnaire"
"P_RHQ","Reproductive Health",2017,2020,"Questionnaire"
"P_SMQ","Smoking - Cigarette Use",2017,2020,"Questionnaire"
"P_RHQ_R","Reproductive Health - Women 12 Years and Older",2017,2020,"Questionnaire"
"P_DPQY_R","Mental Health - Depression Screener - Youth",2017,2020,"Questionnaire"
"P_AUQ","Audiometry",2017,2020,"Questionnaire"
"P_PUQMEC","Pesticide Use",2017,2020,"Questionnaire"
"P_SMQFAM","Smoking - Household Smokers",2017,2020,"Questionnaire"
"FSQ_J_R","Food Security - Pregnant Women",2017,2018,"Questionnaire"
"P_RXQASA","Preventive Aspirin Use",2017,2020,"Questionnaire"
"P_CDQ","Cardiovascular Health",2017,2020,"Questionnaire"
"P_HEQ","Hepatitis",2017,2020,"Questionnaire"
"P_HIQ","Health Insurance",2017,2020,"Questionnaire"
"P_IMQ","Immunization",2017,2020,"Questionnaire"
"P_MCQ","Medical Conditions",2017,2020,"Questionnaire"
"P_PAQ","Physical Activity",2017,2020,"Questionnaire"
"P_PAQY","Physical Activity - Youth",2017,2020,"Questionnaire"
"FSQ_J","Food Security",2017,2018,"Questionnaire"
"P_HUQ","Hospital Utilization & Access to Care",2017,2020,"Questionnaire"
"P_KIQ_U","Kidney Conditions - Urology",2017,2020,"Questionnaire"
"P_SXQ_R","Sexual Behavior - Adult",2017,2020,"Questionnaire"
"P_SXQY_R","Sexual Behavior - Youth",2017,2020,"Questionnaire"
"P_ECQ","Early Childhood",2017,2020,"Questionnaire"
"P_HSQ","Current Health Status",2017,2020,"Questionnaire"
"P_DEQ","Dermatology",2017,2020,"Questionnaire"
"P_WHQMEC","Weight History - Youth",2017,2020,"Questionnaire"
"P_OSQ","Osteoporosis",2017,2020,"Questionnaire"
"P_VTQ","Volatile Toxicant",2017,2020,"Questionnaire"
"P_WHQ","Weight History",2017,2020,"Questionnaire"
"P_RXQ_RX","Prescription Medications",2017,2020,"Questionnaire"
"P_ACQ","Acculturation",2017,2020,"Questionnaire"
"P_DBQ","Diet Behavior & Nutrition",2017,2020,"Questionnaire"
"P_OCQ","Occupation",2017,2020,"Questionnaire"
"P_DUQ_R","Drug Use",2017,2020,"Questionnaire"
"P_DUQY_R","Drug Use - Youth",2017,2020,"Questionnaire"
"DB24_K_R","Diet Behavior & Nutrition - B24 Project",2019,2020,"Questionnaire"
"P_INQ","Income",2017,2020,"Questionnaire"
"EC24_K_R","Early Childhood - B24 Project",2019,2020,"Questionnaire"
"P_CBQ_R","Consumer Behavior",2017,2020,"Questionnaire"
"P_ALQ","Alcohol Use",2017,2020,"Questionnaire"
"P_FSQ","Food Security",2017,2020,"Questionnaire"
"P_ALQY_R","Alcohol Use - Youth",2017,2020,"Questionnaire"
"P_HOQ_R","Housing Characteristics",2017,2020,"Questionnaire"
"FNQA_K_R","Functioning - Adult",2019,2020,"Questionnaire"
"FNQC_K_R","Functioning - Child",2019,2020,"Questionnaire"
"BAQ_K_R","Standing Balance",2019,2020,"Questionnaire"
"CFQ_K_R","Cognitive Functioning",2019,2020,"Questionnaire"
"P_FSQ_R","Food Security - Pregnant Women",2017,2020,"Questionnaire"
"P_CBQPFC","Consumer Behavior Phone Follow-up Module – Child",2017,2020,"Questionnaire"
"P_CBQPFA","Consumer Behavior Phone Follow-up Module - Adult",2017,2020,"Questionnaire"
"SUQ_K_R","Salt Use",2019,2020,"Questionnaire"
"IFQF_K_R","Infant Formula Questionnaire File",2019,2020,"Questionnaire"
"IFPI_K_R","Infant Formula Database – Product Information",2019,2020,"Questionnaire"
"IFNI_K_R","Infant Formula Database – Nutrient Information",2019,2020,"Questionnaire"
"IFII_K_R","Infant Formula Database – Ingredient Information",2019,2020,"Questionnaire"
"IFLD_K_R","Infant Formula Database – Label Descriptor",2019,2020,"Questionnaire"
"AUQ_L","Audiometry",2021,2023,"Questionnaire"
"DIQ_L","Diabetes",2021,2023,"Questionnaire"
"RXQ_RX_L","Prescription Medications",2021,2023,"Questionnaire"
"RXQASA_L","Preventive Aspirin Use",2021,2023,"Questionnaire"
"DUQ_L_R","Drug Use",2021,2023,"Questionnaire"
"HIQ_L","Health Insurance",2021,2023,"Questionnaire"
"HOQ_L","Housing Characteristics",2021,2023,"Questionnaire"
"HUQ_L","Hospital Utilization & Access to Care",2021,2023,"Questionnaire"
"OHQ_L","Oral Health",2021,2023,"Questionnaire"
"PAQ_L","Physical Activity",2021,2023,"Questionnaire"
"PAQY_L","Physical Activity - Youth",2021,2023,"Questionnaire"
"BPQ_L","Blood Pressure & Cholesterol",2021,2023,"Questionnaire"
"HEQ_L","Hepatitis",2021,2023,"Questionnaire"
"MCQ_L","Medical Conditions",2021,2023,"Questionnaire"
"IMQ_L","Immunization",2021,2023,"Questionnaire"
"BAQ_L","Balance",2021,2023,"Questionnaire"
"HSQ_L","Current Health Status",2021,2023,"Questionnaire"
"INQ_L","Income",2021,2023,"Questionnaire"
"WHQ_L","Weight History",2021,2023,"Questionnaire"
"DBQ_L","Diet Behavior & Nutrition",2021,2023,"Questionnaire"
"DEQ_L","Dermatology",2021,2023,"Questionnaire"
"ECQ_L","Early Childhood",2021,2023,"Questionnaire"
"KIQ_U_L","Kidney Conditions - Urology",2021,2023,"Questionnaire"
"ALQ_L","Alcohol Use",2021,2023,"Questionnaire"
"ALQY_L_R","Alcohol Use - Youth",2021,2023,"Questionnaire"
"DPQ_L","Mental Health - Depression Screener",2021,2023,"Questionnaire"
"DPQY_L_R","Mental Health - Depression Screener - Youth",2021,2023,"Questionnaire"
"SMQ_L","Smoking - Cigarette Use",2021,2023,"Questionnaire"
"SMQFAM_L","Smoking - Household Smokers",2021,2023,"Questionnaire"
"SMQRTU_L","Smoking - Recent Tobacco Use",2021,2023,"Questionnaire"
"RHQ_L","Reproductive Health",2021,2023,"Questionnaire"
"RHQ_L_R","Reproductive Health - Women 12 Years and Older",2021,2023,"Questionnaire"
"SLQ_L","Sleep Disorders",2021,2023,"Questionnaire"
"SXQ_L_R","Sexual Behavior - Adult",2021,2023,"Questionnaire"
"SXQY_L_R","Sexual Behavior - Youth",2021,2023,"Questionnaire"
"OCQ_L","Occupation",2021,2023,"Questionnaire"
"FNQ_L","Functioning",2021,2023,"Questionnaire"
"ACQ_L","Acculturation",2021,2023,"Questionnaire"
"PUQMEC_L","Pesticide Use",2021,2023,"Questionnaire"
"VTQ_L","Volatile Toxicant",2021,2023,"Questionnaire"
"FSQ_L","Food Security",2021,2023,"Questionnaire"
