"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"SSHE4_B","Human epididymal secretory protein E4 (HE4) - Serum (Surplus)",2001,2002,"Laboratory"
"INS_J","Insulin",2017,2018,"Laboratory"
"FERTIN_J","Ferritin",2017,2018,"Laboratory"
"VIC_J","Vitamin C",2017,2018,"Laboratory"
"SSCT_H","Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results",2013,2014,"Laboratory"
"SSCT_H_R","Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results - Youth",2013,2014,"Laboratory"
"SSCT_I","Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results",2015,2016,"Laboratory"
"SSCT_I_R","Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results - Youth",2015,2016,"Laboratory"
"SSFR_I","Flame Retardants - Urine (Surplus)",2015,2016,"Laboratory"
"CAFE_H","Caffeine & Caffeine Metabolites - Urine",2013,2014,"Laboratory"
"TRIGLY_J","Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides",2017,2018,"Laboratory"
"FOLATE_J","Folate - RBC",2017,2018,"Laboratory"
"U1PN_H_R","Perchlorate, Nitrate & Thiocyanate - 24-Hour Urine - First Collection",2013,2014,"Laboratory"
"U2PN_H_R","Perchlorate, Nitrate & Thiocyanate - 24-Hour Urine - Second Collection",2013,2014,"Laboratory"
"FOLFMS_J","Folate Forms - Total & Individual - Serum",2017,2018,"Laboratory"
"PAH_I","Polycyclic Aromatic Hydrocarbons (PAH) - Urine",2015,2016,"Laboratory"
"PAHS_I","Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample",2015,2016,"Laboratory"
"UPHOPM_H","Pyrethroids, Herbicides, & Organophosphorus Metabolites - Urine",2013,2014,"Laboratory"
"UAS_J","Arsenics - Speciated - Urine",2017,2018,"Laboratory"
"UTAS_J","Arsenic - Total - Urine",2017,2018,"Laboratory"
"UM_J","Metals - Urine",2017,2018,"Laboratory"
"UCM_J","Chromium - Urine",2017,2018,"Laboratory"
"UHG_J","Mercury: Inorganic - Urine",2017,2018,"Laboratory"
"UNI_J","Nickel - Urine",2017,2018,"Laboratory"
"UIO_J","Iodine - Urine",2017,2018,"Laboratory"
"VOCWB_J","Volatile Organic Compounds and Trihalomethanes/MTBE - Blood",2017,2018,"Laboratory"
"PBY_J_R","Lead - Blood - Youth",2017,2018,"Laboratory"
"PFAS_J","Perfluoroalkyl and Polyfluoroalkyl Substances",2017,2018,"Laboratory"
"PHTHTE_J","Phthalates and Plasticizers Metabolites - Urine",2017,2018,"Laboratory"
"SSSNFL_H","Serum Neurofilament Light Chain - Serum",2013,2014,"Laboratory"
"HPVS_J_R","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array - Youth",2017,2018,"Laboratory"
"HPVW_J_R","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array - Adults",2017,2018,"Laboratory"
"HPWC_J_R","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas High-Risk - Adults",2017,2018,"Laboratory"
"HPVC_J_R","Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas High-Risk - Youth",2017,2018,"Laboratory"
"SSPFAS_J","Perfluoroalkyl and Polyfluoroalkyl Substances (Surplus)",2017,2018,"Laboratory"
"FLDW_K_R","Fluoride - Water",2019,2020,"Laboratory"
"SSDFS_A","Autoantibodies - Anti-DFS70 Autoantibody Analyses (Surplus)",1999,2004,"Laboratory"
"SSDFS_G","Autoantibodies - Anti-DFS70 Autoantibody Analyses (Surplus)",2011,2012,"Laboratory"
"THYD_K_R","Thyroid Profile - Serum",2019,2020,"Laboratory"
"OPD_I","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine",2015,2016,"Laboratory"
"SSGLYP_H","Glyphosate (GLYP) - Urine",2013,2014,"Laboratory"
"UM_J_R","Lead (Youth), Strontium, and Uranium",2017,2018,"Laboratory"
"SSCARD_A","Glycated albumin, Beta-2 Microglobulin, Cystatin C (Surplus)",1999,2004,"Laboratory"
